整合編號,食品分類,樣品名稱,內容物描述,俗名,廢棄率(%),熱量(kcal),修正熱量(kcal),水分(g),粗蛋白(g),粗脂肪(g),飽和脂肪(g),灰分(g),總碳水化合物(g),膳食纖維(g),糖質總量(g),葡萄糖(g),果糖(g),半乳糖(g),麥芽糖(g),蔗糖(g),乳糖(g),鈉(mg),鉀(mg),鈣(mg),鎂(mg),鐵(mg),鋅(mg),磷(mg),銅(mg),錳(mg),維生素A總量(IU),視網醇當量(RE)(ug),視網醇(ug),α-胡蘿蔔素(ug),β-胡蘿蔔素(ug),維生素D總量(IU),維生素D總量(ug),維生素D2(ug),維生素D3(ug),維生素E總量(mg),α-維生素E當量(α-TE)(mg),α-生育酚(mg),β-生育酚(mg),γ-生育酚(mg),δ-生育酚(mg),維生素K1(ug),維生素K2 (MK-4)(ug),維生素K2 (MK-7)(ug),維生素B1(mg),維生素B2(mg),菸鹼素(mg),維生素B6(mg),維生素B12(ug),葉酸(ug),維生素C(mg),脂肪酸S總量(mg),酪酸(4:0)(mg),己酸(6:0)(mg),辛酸(8:0)(mg),癸酸(10:0)(mg),月桂酸(12:0)(mg),十三酸(13:0)(mg),肉豆蔻酸(14:0)(mg),十五酸(15:0)(mg),棕櫚酸(16:0)(mg),十七酸(17:0)(mg),硬脂酸(18:0)(mg),十九酸(19:0)(mg),花生酸(20:0)(mg),山酸(22:0)(mg),廿四酸(24:0)(mg),脂肪酸M總量(mg),肉豆蔻烯酸(14:1)(mg),棕櫚烯酸(16:1)(mg),油酸(18:1)(mg),鱈烯酸(20:1)(mg),芥子酸(22:1)(mg),脂肪酸P總量(mg),亞麻油酸(18:2)(mg),次亞麻油酸(18:3)(mg),十八碳四烯酸(18:4)(mg),花生油酸(20:4)(mg),廿碳五烯酸(20:5)(mg),廿二碳五烯酸(22:5)(mg),廿二碳六烯酸(22:6)(mg),其他脂肪酸(mg),P/M/S,反式脂肪(mg),水解胺基酸總量(mg),天門冬胺酸(Asp)(mg),酥胺酸(Thr)(mg),絲胺酸(Ser)(mg),麩胺酸(Glu)(mg),脯胺酸(Pro)(mg),甘胺酸(Gly)(mg),丙胺酸(Ala)(mg),胱胺酸(Cys)(mg),纈胺酸(Val)(mg),甲硫胺酸(Met)(mg),異白胺酸(Ile)(mg),白胺酸(Leu)(mg),酪胺酸(Tyr)(mg),苯丙胺酸(Phe)(mg),離胺酸(Lys)(mg),組胺酸(His)(mg),精胺酸(Arg)(mg),色胺酸(Trp)(mg),膽固醇(mg),酒精含量(g)
A0320404,穀物類,高筋麵粉,前處理描述:混合均勻,,,361.5771,357.5894,12.25,12.945,1.19,0.2538,0.5563,73.0587,1.881,,,,,,,,0.8,107.835,11.195,33.455,1.165,0.8525,81.325,,,0.0,0.0,,0.0,0.0,,,,,0.705,0.2967,0.205,0.105,0.39,0.005,,,,0.1175,0.03,1.125,0.0745,,48.6,4.985,253.82461999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.0412499999999998,0.0,229.8009,0.0,14.78694,0.0,1.8801999999999999,3.30344,3.0118899999999997,191.67210999999998,0.0,1.47084,181.72133,8.479940000000001,0.0,744.49613,707.0968099999999,37.399319999999996,0.0,0.0,0.0,0.0,0.0,0.0,3.88/1.00/1.32,,14070.0744,590.785,381.645,657.315,4995.72,1879.225,510.61,415.235,487.9994,587.37,57.77,473.49,931.88,348.165,617.435,286.365,318.495,457.76,72.81,,
A0320405,穀物類,高筋麵粉(2021年取樣),前處理描述:混合均勻,強力粉,0.0,362.2052,356.9877,12.34,13.805,1.2755,0.4902,0.3582,72.2213,2.4611,0.333,0.0,0.0,0.0,0.154,0.179,0.0,0.98,97.78,14.225,30.11,0.9,0.98,86.09,0.1539,0.398,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.559,0.4352,0.253,0.129,1.177,0.0,0.0,0.0,0.0,0.067,0.0272,0.0,0.0,0.0,30.356,4.83,490.22949650000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.93904249999997,2.3201345,23.568689000000003,0.0,6.942546500000001,7.290758,5.168326,159.2576545,0.0,4.3481795000000005,147.463106,7.446369000000001,0.0,570.941861,547.8744435,23.0674175,0.0,0.0,0.0,0.0,0.0,55.06971250000001,3.59/1.00/3.08,0.0,13657.458,509.576,335.778,642.143,4995.328,1707.173,487.304,395.909,218.07,551.368,106.492,465.798,957.97,451.046,696.497,257.352,271.806,490.828,117.02,0.0,
A0320505,穀物類,全麥麵粉,"前處理描述:混合均勻(高筋麵粉,麩皮等)",,,359.2716,342.2919,12.736,12.968,1.706,0.3209,1.161,71.429,8.0093,0.3445,0.0,0.0,,0.0,0.3445,0.0,1.6383,276.5703,22.712,96.5543,3.3687,2.3437,251.0123,,,0.0,0.0,,0.0,0.0,,,,,2.5064,0.9126,0.565,0.385,1.5487,0.0077,,,,0.3267,0.0673,4.0897,0.2427,,71.0957,7.1357,320.903718,0.0,0.0,0.0,0.0,0.107478,0.0,1.903896,1.07478,287.362052,1.137902,20.03697,0.0,2.886552,3.191926,3.202162,308.823532,0.0,1.659938,294.16558,12.998014000000001,0.0,1073.932118,1010.8237660000001,63.10835199999999,0.0,0.0,0.0,0.0,0.0,2.342338,3.48/1.00/1.04,,14293.7343,651.4847,392.4113,639.5083,4859.6823,1629.0113,567.2933,461.5327,296.6648,597.2693,144.7753,515.403,1008.3577,423.8647,665.7643,362.5323,329.356,561.027,187.796,,
A0320601,穀物類,雜糧中筋麵粉,"前處理描述:混合均勻(中筋麵粉,全麥麵粉,裸麥,小黑麥,燕麥,玉米,大豆,糙米,小米,亞麻籽等)",,,360.9425,349.5735,11.652,13.113,2.2865,0.6377,0.9705,71.978,5.6845,0.835,0.176,0.0,,0.395,0.264,0.0,1.906,207.31,23.678,52.348,1.769,1.666,174.852,0.0207,,0.0,0.0,,,0.0,,,,,1.999,0.8929,0.654,0.261,1.084,0.0,,,,0.335,0.0822,2.2305,0.083,,63.104,2.935,637.7048500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.55722,0.0,33.908795000000005,0.0,0.0,0.0,13.238835,354.84193500000003,0.0,0.0,335.93258000000003,18.909355,0.0,1268.1614950000003,1199.90947,68.252025,0.0,0.0,0.0,0.0,0.0,25.791719999999998,3.57/1.00/1.80,,11541.06,547.962,343.163,589.471,3979.587,1224.565,447.69,381.181,243.953,444.777,114.171,363.949,798.927,360.983,553.99,293.217,242.195,451.059,160.22,,
A0320702,穀物類,雜糧高筋麵粉,"前處理描述:混合均勻(高筋麵粉,麩皮,葵花籽,燕麥,玉米,大麥,米粉,小米,亞麻籽,蕎麥,香菜籽等)",,,360.2967,349.6557,12.421,14.288,2.7543,0.7869,0.9477,69.589,5.3205,1.054,0.215,0.106,,0.388,0.345,0.0,2.3,218.074,23.947,64.502,1.87,1.695,190.678,0.0222,,1.5099,0.151,,,0.906,,,,,2.255,0.9086,0.627,0.297,1.331,0.0,,,,0.332,0.0397,2.6331,0.121,,61.379,9.503,786.9310530000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.8679260000001,0.0,39.992436,0.0,11.430344999999999,12.449436,10.190909999999999,445.067337,0.0,0.0,428.15593500000006,16.911402,0.0,1478.1777240000001,1404.830715,73.34700899999999,0.0,0.0,0.0,0.0,0.0,44.123886000000006,3.32/1.00/1.77,,12437.114,553.689,360.19,632.875,4417.456,1376.192,480.648,404.523,251.817,475.727,0.0,396.59,866.734,398.739,618.75,306.476,263.6,481.711,151.397,,
A0400101,穀物類,白玉米,"樣品狀態:生; 前處理描述:取玉米粒,混合均均打碎",,,65.8248,57.9808,83.8,3.4,0.64,,0.71,11.45,3.7,,,,,,,,5.0,200.0,5.0,30.0,0.6,0.7,100.0,,,24.1657,2.4167,,9.0,10.0,,,,,,,,,,,,,,0.04,0.08,0.8,0.078,,8.6,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0400201,穀物類,紫玉米,"樣品狀態:生; 前處理描述:取玉米粒,混合均勻打碎",,47.2,167.894,157.4456,59.444,4.461,1.032,0.286,0.6422,34.4208,4.9285,,,,,,,,0.9235,252.8611,5.3667,10.1837,0.9722,1.0202,138.5514,,,0.0,0.0,,0.0,0.0,,,,,0.71,0.2024,0.13,0.05,0.45,0.08,,,,0.174,0.09,1.268,0.34,,11.01,4.255,285.96720000000005,0.0,0.0,0.0,0.0,0.0,0.0,1.1352,0.41280000000000006,249.84720000000002,1.3416000000000001,26.419200000000004,0.0,6.8112,0.0,0.0,335.2968000000001,0.0,6.501600000000001,325.38960000000003,3.4056,0.0,410.83920000000006,395.97839999999997,13.209600000000002,0.0,1.6512000000000002,0.0,0.0,0.0,0.0,1.44/1.17/1.00,,4149.094,322.026,163.368,208.692,787.65,378.353,170.665,344.377,54.085,212.035,42.757,158.815,532.392,144.531,196.67,150.959,136.384,145.335,0.0,,
A0400301,穀物類,甜玉米,"樣品狀態:生; 前處理描述:取玉米粒,混合均勻打碎","玉米,黃玉米",38.7,106.9033,96.9226,75.7316,3.25,2.4772,0.7305,0.7107,17.8305,4.7079,6.954,1.614,1.502,,0.0,3.838,0.0,1.8639,268.7839,3.2496,33.6983,0.5378,0.6334,83.5367,0.0062,,179.8658,17.9907,,3.0,106.4238,,,,,0.7517,0.1542,0.0877,0.0067,0.6203,0.037,,,,0.1333,0.0953,1.8356,0.2025,,26.5703,5.4015,730.5361888,0.0,0.0,0.0,0.9091324000000001,0.24772,0.0,0.49544,0.0,628.46564,1.1568524,70.030444,0.0,13.889660399999999,5.432499599999999,9.908800000000001,868.4790707999999,0.0,4.7884275999999995,854.4927996,9.1978436,0.0,878.1005155999999,850.695252,27.4052636,0.0,0.0,0.0,0.0,0.0,0.0,1.20/1.19/1.00,,2851.3923,244.5233,114.5467,146.3797,481.396,238.6923,123.1597,231.6297,40.257,138.728,33.8103,97.1177,324.2687,125.2863,132.3043,115.8443,90.6267,122.3193,50.5023,,
A0400401,穀物類,雙色水果玉米,"樣品狀態:生(黃白雙色品種); 前處理描述:取玉米粒,混合均勻打碎","玉米,黃玉米",39.1,105.403,96.8607,76.243,3.104,2.5503,0.7307,0.6463,17.4564,4.0294,7.795,3.557,3.047,,0.0,1.191,0.0,0.212,238.702,2.598,32.906,0.697,0.733,92.355,,,0.0,0.0,,,0.0,,,,,0.941,0.2829,0.201,0.026,0.678,0.036,,,,0.075,0.1183,2.0921,0.44,,5.746,5.808,730.7374589999998,0.0,0.0,0.0,0.0,0.0,39.810183,0.0,0.0,580.3717710000001,0.0,97.625484,0.0,12.930021,0.0,0.0,903.0102240000001,0.0,0.0,903.0102240000001,0.0,0.0,895.180803,888.499017,6.681786000000001,0.0,0.0,0.0,0.0,0.0,21.397016999999998,1.23/1.24/1.00,,3086.187,236.442,127.562,159.282,548.743,248.279,137.879,273.328,29.947,159.817,70.046,107.441,342.274,122.406,138.592,146.888,78.375,142.861,16.025,,
A0400501,穀物類,糯玉米,"樣品狀態:生,每根均混有紫皮與黃皮(已去部分外葉); 前處理描述:取玉米粒混合均勻打碎",,32.2,172.1804,164.7881,59.066,4.727,1.898,0.5357,0.8596,33.4494,3.4869,1.0849,0.6923,0.3926,,0.0,0.0,0.0,1.17,272.717,6.035,49.521,0.867,0.773,137.284,,,0.0,0.0,,,0.0,,,,,1.113,0.2533,0.16,0.0,0.925,0.028,,,,0.184,0.0938,1.4794,0.276,,6.464,3.981,535.74846,0.0,1.1198199999999998,2.88496,1.6322799999999997,0.5883799999999999,0.0,2.4673999999999996,0.6832799999999999,454.49508,2.20168,40.73108,0.0,13.229059999999999,9.85062,5.86482,687.4555999999999,0.0,10.818599999999998,669.34868,7.28832,0.0,666.6155599999998,644.12426,22.491300000000003,0.0,0.0,0.0,0.0,0.0,8.18038,1.24/1.28/1.00,,4773.917,302.036,129.498,195.682,846.064,391.723,166.855,358.582,91.626,267.687,78.614,199.226,609.429,261.389,276.015,189.539,136.249,226.45,47.253,,
A0400601,穀物類,冷凍玉米粒,樣品狀態:冷凍製品; 前處理描述:混合均勻打碎,,,173.5786,167.0066,65.6,3.1,8.2,,0.57,22.53,3.1,,,,,,,,8.0,210.0,3.0,24.0,0.58,0.48,72.0,,,99.996,10.0005,,30.0,45.0,,,,,,,,,,,,,,0.04,0.04,0.51,0.0364,,2.4,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0410101,穀物類,乾玉米粒,樣品狀態:乾貨; 前處理描述:混合均勻磨碎,,,373.0182,345.8602,11.9235,10.8765,3.9421,0.6193,1.0502,72.2077,12.8104,0.504,0.0,0.0,,0.0,0.504,0.0,0.744,258.931,6.4135,125.6065,2.4275,2.6335,273.333,0.0247,,71.0555,7.1073,,0.0,42.635,,,,,3.328,0.7208,0.4415,0.013,2.665,0.2085,,,,0.4735,0.074,1.4048,0.7046,,48.622,0.0,619.2960257999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.4769421,0.0,71.25345750000001,0.0,24.716967,3.2916535000000002,7.5570057,1040.6079633,0.0,0.0,1025.8999882,14.707975099999999,0.0,2274.1304742999996,2227.5782154,46.552258900000005,0.0,0.0,0.0,0.0,0.0,8.081305,3.67/1.68/1.00,,9801.506,628.062,357.793,479.628,1929.037,901.37,354.3345,795.354,222.8045,448.1675,114.728,318.5375,1358.851,394.5565,485.362,263.4925,280.8155,399.6765,68.936,,
A0410201,穀物類,玉米胚芽,樣品狀態:生; 前處理描述:混合均勻打碎,"玉米仁,珍珠米",,365.8851,353.8919,11.48,7.035,0.8954,0.1276,0.278,80.3116,5.6572,0.0,0.0,0.0,,0.0,0.0,0.0,1.3895,93.834,2.679,17.0766,0.759,0.4805,65.0028,,,5.9748,0.5976,,0.0,3.585,,,,,0.3535,0.0947,0.068,0.0,0.2595,0.026,,,,0.0635,0.025,1.209,0.1852,,42.1235,0.0,127.6070356,0.0,0.0,0.0,0.0,0.0,0.0,0.188034,0.0,103.6810522,0.340252,16.6732434,0.0,4.472523,0.523809,1.728122,257.7668566,0.0,0.501424,255.53193820000004,1.7334943999999999,0.0,509.7745004000001,493.0439514,16.730548999999996,0.0,0.0,0.0,0.0,0.0,0.255189,3.99/2.02/1.00,,6822.0255,383.5625,217.68,306.6875,1417.2135,680.36,200.9935,536.299,175.551,318.716,98.6325,246.116,983.8165,260.4795,335.729,134.402,208.47,252.8325,64.4845,,
A0420101,穀物類,玉米粉,前處理描述:混合均勻,,,368.578,368.176,10.87,0.323,0.4163,0.0752,0.0823,88.3084,0.1896,0.0,0.0,0.0,,0.0,0.0,0.0,13.778,4.272,2.4444,3.2564,0.2435,0.031,14.342,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.006,0.0,0.099,0.0215,,12.2545,2.47,75.24913910000001,0.0,0.0,0.0,0.0,0.0,0.0,7.2182257000000005,0.0,13.801593899999999,0.0,54.2293195,0.0,0.0,0.0,0.0,127.04809920000001,0.0,62.4645661,59.013022799999995,5.5705103000000005,0.0,214.00026389999996,9.6365124,1.4553848,2.3321126000000003,41.69494279999999,79.3909078,19.1377273,60.3526762,0.0,2.84/1.69/1.00,,,,,,,,,,,,,,,,,,,,,,
